"","LGA","p_test","se","Number of Participants"
"459","Obanliku",0,0,1
"460","Obi Nwa",0.111111111111111,0,6
"461","Obi2",0.285714285714286,1.38777878078145e-17,3
"462","Obia/Akpor",0.0544356917348139,0.0293635377990121,58
"463","Obot Akara",0,0,2
"464","Obowo",0.0894228971404432,0.060058308056989,7
"465","Obubra",0.68032788158767,0.166152867743592,8
"466","Odeda",0.5,0,4
"467","Odigbo",0.177467855087514,0.0999396319757065,12
"468","Odo-Otin",0.355895253309183,0.00815095038020852,23
"469","Odogbolu",0,0,8
"470","Odukpani",0.425963429501454,0.246103593054984,8
"471","Offa",0.273980778051912,0.0647038125833452,18
"472","Ofu",0.119999910315309,0.121589421301325,9
"473","Ogba/Egbema/Ndoni",0,0,13
"474","Ogbaru",0.1,2.08166817117217e-17,9
"475","Ogbia",0.110726557070245,0.0995282110193617,7
"476","Ogbomosho North",0.219693670748532,0.11791169574077,15
"477","Ogoja",0.25757574914345,0.227785604458792,5
"478","Oguta",0.375,0,10
"479","Ohafia",0.055463850744315,0.0519360675684132,11
"480","Ohaji/Egbema",0.159028458034293,0.0722415062303169,13
"481","Ohaozara",0.113060428962615,0.0132411073112512,17
"482","Ohaukwu",0.571428571428571,9.71445146547012e-17,10
"483","Oji-River",0,0,6
"484","Ojo",0.0521806939542176,0.0413444900446824,29
"485","Oju",0.165757650501483,0.0625445743045156,26
"486","Oke-Ero",0,0,3
"487","Okehi",0.333333333333333,2.77555756156289e-17,2
"488","Okene",0.350256081301968,0.145701692553726,17
"489","Okigwe",0.777777777777778,0.107343531453255,5
"490","Okitipupa",0.333333333333333,3.10316769155909e-17,4
"491","Okobo",0.5,0,10
"492","Okpe",0,0,1
"493","Okpokwu",0.153846153846154,3.12250225675825e-17,15
"494","Okrika",0.041735151374225,0.0304875130471034,24
"495","Olamabolo",0.283198695978549,0.0900002019172792,10
"496","Omala",0.257260066514936,0.0849850217256714,2
"497","Omumma",0.164497409744606,0.039223816593714,30
"498","Ondo East",0.25,2.77555756156289e-17,4
"499","Ondo West",0.6,1.38777878078145e-17,6
"500","Onicha",0.203149623701769,0.0480618616295189,22
"501","Onitsha North",0,0,9
"502","Onitsha South",0,0,7
"503","Onna",0,0,7
"504","Opobo/Nkoro",0,0,10
"505","Oredo",0,0,6
"506","Orhionmwon",0.517993716350592,0.115583276541003,7
"507","Ori Ire",0.2,2.77555756156289e-17,4
"508","Oriade",0.0990418056975826,0.0429593543364771,10
"509","Orlu",0,0,3
"510","Orolu",0.466124617181955,0.0748513643129795,15
"511","Oron",0.142857142857143,2.08166817117217e-17,6
"512","Orsu",0.181701370523806,0.0280472702345426,8
"513","Oru East",0,0,4
"514","Oru West",0,0,28
"515","Oruk Anam",0.7071428930899,0.071552555329406,7
"516","Orumba North",0.0936531251736738,0.0320200722424038,31
"517","Ose",0.625287346715918,0.14319503428986,7
"518","Oshodi-Isolo",0,0,26
"519","Osisioma Ngwa",0,0,9
"520","Osogbo",0.531527815776176,0.1183193895364,13
"521","Oturkpo",0.235292416184476,0.17808892233965,9
"522","Ovia North East",0,0,10
"523","Ovia South West",0.17391305905161,0.0332914486208975,6
"524","Owan East",0.2,2.77555756156289e-17,6
"525","Owan West",0.232553992089601,0.0229506427800459,15
"526","Owerri North",0,0,30
"527","Owerri-Municipal",0,0,4
"528","Owo",0.488785666432111,0.16262107322501,13
"529","Oye",0.580069204504227,0.158643429768673,6
"530","Oyi",0,0,25
"531","Oyigbo",0,0,3
"532","Oyo East",0.25,2.08166817117217e-17,15
"533","Oyo West",0.333333333333333,2.77555756156289e-17,3
"534","Oyun",0,0,1
"535","Pailoro",0.284115728206652,0.0362031201330962,47
"536","Pankshin",0.0981323710503923,0.0721436109034944,7
"537","Patani",0,0,6
"538","Pategi",0.2,0,3
"539","Port-Harcourt",0.0541082082057326,0.0573481695779232,30
"540","Potiskum",0.186462578565916,0.0364462605573219,27
"541","Qua'an Pan",0.396419446740676,0.16389872382342,8
"542","Rabah",0.75,0,3
"543","Rafi",0.337348262607439,0.189164619613309,16
"544","Rano",0.8,6.93889390390723e-17,5
"545","Remo North",0,0,6
"546","Rijau",0.666666666666667,8.32667268468869e-17,8
"547","Ringim",1,1.11022302462516e-16,5
"548","Riyom",0.4,1.38777878078145e-17,5
"549","Rogo",0.6,8.32667268468868e-17,6
"550","Sabon Birni",0.255737724321387,0.148741339114753,14
"551","Sabon-Gari",0.0224173798885968,0.026760021466813,31
"552","Sabuwa",0,0,11
"553","Safana",0,0,6
"554","Sagbama",0.110767658904746,0.0446123481737562,13
"555","Saki East",0.717630843134249,0.240428177664823,7
"556","Saki West",0.0793650728198526,0.0507368583461056,15
"557","Sanga",0,0,1
"558","Sapele",0.351002720806922,0.147922355664134,3
"559","Sardauna",0.171229896537528,0.109083384141729,23
"560","Shagamu",0.0969337335315731,0.0453454684207586,17
"561","Shagari",0.666666666666667,5.55111512312578e-17,3
"562","Shanga",0,0,4
"563","Shelleng",0.378727674663822,0.0689030608475103,10
"564","Shendam",0.134564312295919,0.0937075967035,24
"565","Shinkafi",0.5,0,5
"566","Shira",0.0634920370964711,0.056474522824145,11
"567","Shiroro",0.407363364657145,0.209909411972559,16
"568","Shomgom",0.142857142857143,4.80740671595891e-18,6
"569","Shomolu",0,0,13
"570","Silame",0.5,0,3
"571","Soba",0.668005323322169,0.241245063951875,13
"572","Sokoto North",0.0756081252011644,0.0480062396573182,6
"573","Sokoto South",0,0,8
