adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Kano,Dawakin Tofa,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Kano,Dawakin Tofa,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Kano,Dawakin Tofa,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Kano,Dawakin Tofa,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Kano,Doguwa,SMC,Giwa,august,579,2021,1,-1,1,0.6,5
Kano,Doguwa,SMC,Giwa,august,609,2021,2,-1,1,0.6,5
Kano,Doguwa,SMC,Giwa,august,639,2021,3,-1,1,0.6,5
Kano,Doguwa,SMC,Giwa,august,669,2021,4,-1,1,0.6,5
Kano,Fagge,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Kano,Fagge,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Kano,Fagge,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Kano,Fagge,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Kano,Gabasawa,SMC,Taura,july,550,2021,1,-1,1,0.6,5
