State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Federal Capital Territory,Abaji,Keana,august,2020,4,-1,1,0.6,5,313
Nasarawa,Doma,Keana,august,2020,1,-1,1,0.6,5,223
Federal Capital Territory,Abuja Municipal,Keana,august,2020,2,-1,1,0.6,5,253
Federal Capital Territory,Abuja Municipal,Keana,august,2020,3,-1,1,0.6,5,283
Federal Capital Territory,Abuja Municipal,Keana,august,2020,4,-1,1,0.6,5,313
Taraba,Donga,Keana,august,2020,1,-1,1,0.6,5,223
Federal Capital Territory,Bwari,Giwa,august,2020,2,-1,1,0.6,5,253
Federal Capital Territory,Bwari,Giwa,august,2020,3,-1,1,0.6,5,283
Federal Capital Territory,Bwari,Giwa,august,2020,4,-1,1,0.6,5,313
Gombe,Dukku,Darazo,july,2020,1,-1,1,0.6,5,186
Federal Capital Territory,Gwagwalada,Keana,august,2020,2,-1,1,0.6,5,253
Federal Capital Territory,Gwagwalada,Keana,august,2020,3,-1,1,0.6,5,283
Federal Capital Territory,Gwagwalada,Keana,august,2020,4,-1,1,0.6,5,313
Jigawa,Dutse,Takali,september,2020,1,-1,1,0.934456929,5,186
Federal Capital Territory,Kuje,Keana,august,2020,2,-1,1,0.6,5,253
Federal Capital Territory,Kuje,Keana,august,2020,3,-1,1,0.6,5,283
