LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Baure,Katsina,2028,4,-1,1,0.363363363,5,10,3190,100,36.3
Baure,Katsina,2029,1,-1,1,0.975975976,5,7,3471,100,97.6
Baure,Katsina,2029,2,-1,1,0.977477477,5,8,3499,100,97.7
Baure,Katsina,2029,3,-1,1,0.951951952,5,9,3527,100,95.2
Baure,Katsina,2029,4,-1,1,0.363363363,5,10,3555,100,36.3
Baure,Katsina,2030,1,-1,1,0.975975976,5,7,3836,100,97.6
Baure,Katsina,2030,2,-1,1,0.977477477,5,8,3864,100,97.7
Baure,Katsina,2030,3,-1,1,0.951951952,5,9,3892,100,95.2
Baure,Katsina,2030,4,-1,1,0.363363363,5,10,3920,100,36.3
Binji,Sokoto,2020,1,-1,1,0.969736842,5,7,186,100,97.0
Binji,Sokoto,2020,2,-1,1,0.994736842,5,8,214,100,99.5
Binji,Sokoto,2020,3,-1,1,0.992105263,5,9,242,100,99.2
Binji,Sokoto,2020,4,-1,1,0.45,5,10,270,100,45.0
Binji,Sokoto,2021,1,-1,1,0.969736842,5,7,551,100,97.0
Binji,Sokoto,2021,2,-1,1,0.994736842,5,8,579,100,99.5
Binji,Sokoto,2021,3,-1,1,0.992105263,5,9,607,100,99.2
Binji,Sokoto,2021,4,-1,1,0.45,5,10,635,100,45.0
Binji,Sokoto,2022,1,-1,1,0.969736842,5,7,916,100,97.0
Binji,Sokoto,2022,2,-1,1,0.994736842,5,8,944,100,99.5
Binji,Sokoto,2022,3,-1,1,0.992105263,5,9,972,100,99.2
Binji,Sokoto,2022,4,-1,1,0.45,5,10,1000,100,45.0
Binji,Sokoto,2023,1,-1,1,0.969736842,5,7,1281,100,97.0
Binji,Sokoto,2023,2,-1,1,0.994736842,5,8,1309,100,99.5
Binji,Sokoto,2023,3,-1,1,0.992105263,5,9,1337,100,99.2
Binji,Sokoto,2023,4,-1,1,0.45,5,10,1365,100,45.0
Binji,Sokoto,2024,1,-1,1,0.969736842,5,7,1646,100,97.0
Binji,Sokoto,2024,2,-1,1,0.994736842,5,8,1674,100,99.5
Binji,Sokoto,2024,3,-1,1,0.992105263,5,9,1702,100,99.2
Binji,Sokoto,2024,4,-1,1,0.45,5,10,1730,100,45.0
Binji,Sokoto,2025,1,-1,1,0.969736842,5,7,2011,100,97.0
Binji,Sokoto,2025,2,-1,1,0.994736842,5,8,2039,100,99.5
Binji,Sokoto,2025,3,-1,1,0.992105263,5,9,2067,100,99.2
Binji,Sokoto,2025,4,-1,1,0.45,5,10,2095,100,45.0
Binji,Sokoto,2026,1,-1,1,0.969736842,5,7,2376,100,97.0
Binji,Sokoto,2026,2,-1,1,0.994736842,5,8,2404,100,99.5
Binji,Sokoto,2026,3,-1,1,0.992105263,5,9,2432,100,99.2
Binji,Sokoto,2026,4,-1,1,0.45,5,10,2460,100,45.0
Binji,Sokoto,2027,1,-1,1,0.969736842,5,7,2741,100,97.0
Binji,Sokoto,2027,2,-1,1,0.994736842,5,8,2769,100,99.5
Binji,Sokoto,2027,3,-1,1,0.992105263,5,9,2797,100,99.2
Binji,Sokoto,2027,4,-1,1,0.45,5,10,2825,100,45.0
Binji,Sokoto,2028,1,-1,1,0.969736842,5,7,3106,100,97.0
Binji,Sokoto,2028,2,-1,1,0.994736842,5,8,3134,100,99.5
Binji,Sokoto,2028,3,-1,1,0.992105263,5,9,3162,100,99.2
Binji,Sokoto,2028,4,-1,1,0.45,5,10,3190,100,45.0
Binji,Sokoto,2029,1,-1,1,0.969736842,5,7,3471,100,97.0
Binji,Sokoto,2029,2,-1,1,0.994736842,5,8,3499,100,99.5
Binji,Sokoto,2029,3,-1,1,0.992105263,5,9,3527,100,99.2
Binji,Sokoto,2029,4,-1,1,0.45,5,10,3555,100,45.0
Binji,Sokoto,2030,1,-1,1,0.969736842,5,7,3836,100,97.0
Binji,Sokoto,2030,2,-1,1,0.994736842,5,8,3864,100,99.5
Binji,Sokoto,2030,3,-1,1,0.992105263,5,9,3892,100,99.2
Binji,Sokoto,2030,4,-1,1,0.45,5,10,3920,100,45.0
Biriniwa,Jigawa,2020,1,-1,1,0.934456929,5,7,186,100,93.4
