"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"210","Agaie","Oke-Ero",NA,0.308728764997137,0.308728764997137,71,365,2020,1,0.551889175997137,2,0.0618891759971366
"211","Agaie","Oke-Ero",NA,0.339673352995705,0.339673352995705,436,365,2021,2,0.582833763995705,3,0.0928337639957049
"212","Agaie","Oke-Ero",NA,0.370617940994273,0.370617940994273,801,365,2022,3,0.613778351994273,4,0.123778351994273
"213","Agaie","Oke-Ero",NA,0.401562528992842,0.401562528992842,1166,365,2023,4,0.644722939992841,5,0.154722939992841
"214","Agaie","Oke-Ero",NA,0.43250711699141,0.43250711699141,1531,365,2024,5,0.67566752799141,6,0.18566752799141
"215","Agaie","Oke-Ero",NA,0.463451704989978,0.463451704989978,1896,365,2025,6,0.706612115989978,7,0.216612115989978
"216","Agaie","Oke-Ero",NA,0.494396292988546,0.494396292988546,2261,365,2026,7,0.737556703988546,8,0.247556703988546
"217","Agaie","Oke-Ero",NA,0.525340880987115,0.525340880987115,2626,365,2027,8,0.768501291987115,9,0.278501291987115
"218","Agaie","Oke-Ero",NA,0.556285468985683,0.556285468985683,2991,365,2028,9,0.799445879985683,10,0.309445879985683
"219","Agaie","Oke-Ero",NA,0.587230056984251,0.587230056984251,3356,365,2029,10,0.8,11,0.340390467984251
"220","Agaie","Oke-Ero",NA,0.618174644982819,0.618174644982819,3721,365,2030,11,0.8,12,0.37133505598282
"221","Agatu","Keana",NA,0.223644673093709,0.223644673093709,71,365,2020,1,0.536457460093708,2,0.0464574600937085
"222","Agatu","Keana",NA,0.246873403140563,0.246873403140563,436,365,2021,2,0.559686190140563,3,0.0696861901405627
"223","Agatu","Keana",NA,0.270102133187417,0.270102133187417,801,365,2022,3,0.582914920187417,4,0.092914920187417
"224","Agatu","Keana",NA,0.293330863234271,0.293330863234271,1166,365,2023,4,0.606143650234271,5,0.116143650234271
"225","Agatu","Keana",NA,0.316559593281125,0.316559593281125,1531,365,2024,5,0.629372380281126,6,0.139372380281125
"226","Agatu","Keana",NA,0.33978832332798,0.33978832332798,1896,365,2025,6,0.65260111032798,7,0.16260111032798
"227","Agatu","Keana",NA,0.363017053374834,0.363017053374834,2261,365,2026,7,0.675829840374834,8,0.185829840374834
"228","Agatu","Keana",NA,0.386245783421688,0.386245783421688,2626,365,2027,8,0.699058570421688,9,0.209058570421688
"229","Agatu","Keana",NA,0.409474513468542,0.409474513468542,2991,365,2028,9,0.722287300468542,10,0.232287300468542
