LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Ibarapa East,Oyo,1,0.461438899,0.389480681,0.533397116,0.461438899
Ibarapa North,Oyo,1,0.461438899,0.389480681,0.533397116,0.461438899
Ibeju/Lekki,Lagos,1,0.666666667,0.666666667,0.666666667,0.666666667
Ibeno,Akwa lbom,1,0.581030608,0.508061727,0.65399949,0.581030608
Ibesikpo Asutan,Akwa lbom,1,0.666666667,0.576240414,0.757092919,0.666666667
Ibi,Taraba,0,0.399579543,0.335216571,0.463942514,0.399579543
Ibiono Ibom,Akwa lbom,1,0.304292928,0.175720703,0.432865153,0.304292928
Idah,Kogi,1,0.502571063,0.407199847,0.597942278,0.502571063
Idanre,Ondo,1,0.663839412,0.577512307,0.750166518,0.663839412
Ideato North,Imo,1,0.706221878,0.601936759,0.810506997,0.706221878
Ideato South,Imo,1,0.733333333,0.733333333,0.733333333,0.733333333
Idemili North,Anambra,1,0.747276682,0.689640639,0.804912725,0.747276682
Idemili South,Anambra,1,0.817291507,0.741084679,0.893498334,0.817291507
Ido,Oyo,1,0.595248811,0.548790229,0.641707392,0.595248811
Idosi-Osi,Ekiti,1,0.744993903,0.658523969,0.831463837,0.744993903
Ifako-Ijaye,Lagos,1,0.725490195,0.429354887,1.021625504,0.725490195
Ife Central,Osun,1,0.601449292,0.489319277,0.713579307,0.601449292
Ife East,Osun,1,1,1,1,1
Ife North,Osun,1,0.851234535,0.737118484,0.965350586,0.851234535
Ife South,Osun,1,0.690059784,0.627073618,0.753045949,0.690059784
Ifedayo,Osun,1,0.333333333,0.333333333,0.333333333,0.333333333
Ifedore,Ondo,1,0.818395408,0.672626494,0.964164321,0.818395408
Ifelodun1,Kwara,0,0.393128715,0.034637148,0.751620282,0.393128715
Ifelodun2,Osun,1,0.8,0.8,0.8,0.8
Ifo,Ogun,1,0.622900032,0.400488747,0.845311316,0.622900032
Igabi,Kaduna,0,0.187930967,0.128430863,0.247431071,0.187930967
Igalamela-Odolu,Kogi,1,0.443596891,0.290452615,0.596741166,0.443596891
Igbo-Etiti,Enugu,1,0.90186215,0.798470047,1.005254254,0.90186215
Igbo-Eze North,Enugu,1,0.450568144,0.239902979,0.661233309,0.450568144
Igbo-Eze South,Enugu,1,0.555197312,0.440050001,0.670344623,0.555197312
Igueben,Edo,1,0.592360329,0.535014447,0.649706211,0.592360329
Ihiala,Anambra,1,0.792673987,0.711672706,0.873675267,0.792673987
Ihitte/Uboma,Imo,1,0.65629425,0.580742769,0.731845731,0.65629425
Ijebu East,Ogun,1,0.380952381,0.380952381,0.380952381,0.380952381
Ijebu North,Ogun,1,0.30243684,0.049678799,0.55519488,0.30243684
Ijebu North East,Ogun,1,0.380952381,0.380952381,0.380952381,0.380952381
Ijebu ode,Ogun,1,0.484984964,0.397482442,0.572487487,0.484984964
Ijero,Ekiti,1,0.8177402,0.625931037,1.009549363,0.8177402
Ijumu,Kogi,1,0.676767677,0.676767677,0.676767677,0.676767677
Ika,Akwa lbom,1,0.581030608,0.508061727,0.65399949,0.581030608
Ika North East,Delta,1,0.703703704,0.703703704,0.703703704,0.703703704
Ika South,Delta,1,0.833333333,0.833333333,0.833333333,0.833333333
Ikara,Kaduna,0,0.346396185,0.246748754,0.446043616,0.346396185
Ikeduru,Imo,1,0.846647709,0.78914119,0.904154227,0.846647709
Ikeja,Lagos,1,0.696969697,0.696969697,0.696969697,0.696969697
Ikenne,Ogun,1,0.444444444,0.444444444,0.444444444,0.444444444
Ikere,Ekiti,1,0.666666667,0.666666667,0.666666667,0.666666667
Ikole,Ekiti,1,0.814905198,0.761783154,0.868027241,0.814905198
Ikom,Cross River,1,0.612587418,0.506975469,0.718199367,0.612587418
Ikono,Akwa lbom,1,0.833333333,0.833333333,0.833333333,0.833333333
Ikorodu,Lagos,1,0.676737972,0.536165206,0.817310737,0.676737972
Ikot Abasi,Akwa lbom,1,0.791666667,0.791666667,0.791666667,0.791666667
Ikot Ekpene,Akwa lbom,1,0.730505517,0.565776579,0.895234455,0.730505517
Ikpoba-Okha,Edo,1,0.636795512,0.369929199,0.903661826,0.636795512
Ikwerre,Rivers,1,0.361622351,0.205903009,0.517341693,0.361622351
Ikwo,Ebonyi,1,0.713459438,0.640606538,0.786312338,0.713459438
Ikwuano,Abia,1,0.629341638,0.535022535,0.723660742,0.629341638
Ila,Osun,1,0.782414863,0.70837454,0.856455186,0.782414863
