adm1,LGA,year,llins_yn,llins_num,llin_month
Niger,Katcha,2019,1,,12
Katsina,Katsina,2015,1,,1
Katsina,Katsina,2018,1,317782,10
Benue,Katsina-Ala,2016,1,156733,4
Jigawa,Kaugama,2014,1,,10
Jigawa,Kaugama,2018,1,109321,8
Kaduna,Kaura,2015,1,,3
Kaduna,Kaura,2018,1,175754,
Kaduna,Kaura,2019,1,175754,8
Zamfara,Kaura Namoda,2015,1,,9
Kaduna,Kauru,2010,,,
Kaduna,Kauru,2015,1,,3
Kaduna,Kauru,2018,1,148424,
Kaduna,Kauru,2019,1,148424,8
Jigawa,Kazaure,2014,1,,10
Jigawa,Kazaure,2018,1,126033,8
Nasarawa,Keana,2014,1,,10
Nasarawa,Keana,2018,1,48978,
Sokoto,Kebbe,2013,1,,12
Sokoto,Kebbe,2017,1,97002,
Nasarawa,Keffi,2014,1,,10
Nasarawa,Keffi,2018,1,120013,
Rivers,Khana,2014,1,,10
Kano,Kibiya,2015,1,,3
Kano,Kibiya,2019,1,,10
Bauchi,Kirfi,2014,1,,10
Bauchi,Kirfi,2018,1,121250,
Jigawa,Kiri Kasamma,2014,1,,10
Jigawa,Kiri Kasamma,2018,1,175215,8
Kano,Kiru,2015,1,,3
Kano,Kiru,2019,1,,10
Jigawa,kiyawa,2014,1,,10
Jigawa,kiyawa,2018,1,151480,8
Kogi,Kogi,2017,1,76160,
Kebbi,Koko/Besse,2010,,,
Kebbi,Koko/Besse,2015,1,,1
Kebbi,Koko/Besse,2018,1,120150,
Nasarawa,Kokona,2014,1,,10
Nasarawa,Kokona,2018,1,83125,
Benue,Konshisha,2016,1,159928,4
Niger,Kontagora,2014,1,,12
Niger,Kontagora,2019,1,,12
Kaduna,Kubau,2015,1,,3
Kaduna,Kubau,2018,1,246339,
Kaduna,Kubau,2019,1,246339,8
Kaduna,Kudan,2015,1,,3
Kaduna,Kudan,2018,1,125497,
Kaduna,Kudan,2019,1,125497,8
Kano,Kumbotso,2015,1,,3
Kano,Kumbotso,2019,1,,10
Kano,Kunchi,2015,1,,3
Kano,Kunchi,2019,1,,10
Kano,Kura,2010,,,
Kano,Kura,2015,1,,3
Kano,Kura,2019,1,,10
Katsina,Kurfi,2015,1,,1
Katsina,Kurfi,2018,1,110983,10
Taraba,Kurmi,2018,1,73135,
Taraba,Kurmi,2019,1,73135,8
Katsina,Kusada,2015,1,,1
Katsina,Kusada,2018,1,81025,10
Gombe,Kwami,2014,1,,10
