"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"290","Owerri West","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"291","Unuimo","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"292","Auyo","Taura",NA,NA,1,NA,NA,NA,1,NA
"293","Babura","Babura",NA,NA,1,NA,NA,NA,1,NA
"294","Biriniwa","Taura",NA,NA,1,NA,NA,NA,1,NA
"295","Malam Madori","Taura",1,NA,1,NA,NA,NA,1,NA
"296","Birni Kudu","Takali",1,NA,1,NA,NA,NA,1,NA
"297","Buji","Takali",NA,NA,1,NA,NA,NA,1,NA
"298","Jahun","Taura",NA,NA,1,NA,NA,NA,1,NA
"299","Dutse","Takali",NA,NA,1,NA,NA,NA,1,NA
"300","Gagarawa","Taura",NA,NA,1,NA,NA,NA,1,NA
"301","Kafin Hausa","Taura",1,NA,1,NA,NA,NA,1,NA
"302","Garki","Babura",NA,NA,1,NA,NA,NA,1,NA
"303","Gumel","Babura",NA,NA,1,NA,NA,NA,1,NA
"304","Guri","Taura",NA,NA,1,NA,NA,NA,1,NA
"305","Gwaram","Takali",1,NA,1,NA,NA,NA,1,NA
"306","Gwiwa","Babura",NA,NA,1,NA,NA,NA,1,NA
"307","Hadejia","Taura",NA,NA,1,NA,NA,NA,1,NA
"308","Kaugama","Taura",NA,NA,1,NA,NA,NA,1,NA
"309","Kazaure","Babura",NA,NA,1,NA,NA,NA,1,NA
"310","Kiri Kasamma","Taura",NA,NA,1,NA,NA,NA,1,NA
"311","Tsanyawa","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"312","Miga","Taura",NA,NA,1,NA,NA,NA,1,NA
"313","Ringim","Taura",NA,NA,1,NA,NA,NA,1,NA
"314","Roni","Babura",NA,NA,1,NA,NA,NA,1,NA
"315","Taura","Taura",NA,NA,1,NA,NA,NA,1,NA
"316","Yankwashi","Babura",NA,NA,1,NA,NA,NA,1,NA
"317","kiyawa","Takali",NA,NA,1,NA,NA,NA,1,NA
"318","Dutsi","Rimi",NA,NA,NA,1,NA,NA,1,NA
"319","Birnin-Gwari","Giwa",1,NA,NA,1,NA,NA,1,1
"320","Kajuru","Soba",NA,NA,NA,1,NA,NA,1,1
"321","Chikun","Soba",1,NA,NA,1,NA,NA,1,1
"322","Giwa","Giwa",NA,NA,NA,1,NA,NA,1,1
"323","Koko/Besse","Birnin Kebbi",1,NA,NA,1,NA,NA,1,NA
"324","Igabi","Soba",NA,NA,NA,1,NA,NA,1,1
"325","Ikara","Soba",NA,NA,NA,1,NA,NA,1,1
"326","Jaba","Oke-Ero",NA,NA,NA,1,NA,NA,1,1
"327","Ogori/Mangongo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"328","Jema'a","Soba",NA,NA,NA,1,NA,NA,1,1
"329","Kachia","Ngor-Okpala",NA,NA,NA,1,NA,NA,1,1
"330","Kaduna North","Soba",1,NA,NA,1,NA,NA,1,1
"331","Kudan","Giwa",NA,NA,NA,1,NA,NA,1,1
"332","Kagarko","Oke-Ero",NA,NA,NA,1,NA,NA,1,1
"333","Kaura","Soba",NA,NA,NA,1,NA,NA,1,1
"334","Kauru","Soba",1,NA,NA,1,NA,NA,1,1
"335","Kubau","Soba",NA,NA,NA,1,NA,NA,1,1
"336","Lere","Soba",1,NA,NA,1,NA,NA,1,1
"337","Markafi","Gwarzo",1,NA,NA,1,NA,NA,1,1
"338","Sabon-Gari","Soba",NA,NA,NA,1,NA,NA,1,1
"339","Sanga","Soba",NA,NA,NA,1,NA,NA,1,1
"340","Soba","Soba",1,NA,NA,1,NA,NA,1,1
"341","Zango-Kataf","Soba",NA,NA,NA,1,NA,NA,1,1
"342","Zaria","Soba",1,NA,NA,1,NA,NA,1,1
"343","Kaduna South","Soba",NA,NA,NA,1,NA,NA,1,1
"344","Bichi","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"345","Ajingi","Taura",NA,NA,NA,1,NA,NA,NA,1
"346","Albasu","Takali",NA,NA,NA,1,NA,NA,NA,1
"347","Bagwai","Babura",1,NA,NA,1,NA,NA,NA,1
"348","Bebeji","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"349","Dambatta","Babura",NA,NA,NA,1,NA,NA,NA,1
"350","Dawakin Kudu","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"351","Dawakin Tofa","Taura",NA,NA,NA,1,NA,NA,NA,1
"352","Doguwa","Giwa",NA,NA,NA,1,NA,NA,NA,1
"353","Gabasawa","Taura",NA,NA,NA,1,NA,NA,NA,1
"354","Garko","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"355","Garum Mallam","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
