LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Ika North East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ika South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ikara,Soba,,0.02049469,0.02049469,0,-1,2018
Ikeduru,Ngor-Okpala,,0.185892623,0.185892623,0,-1,2018
Ikeja,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ikenne,Owan East,,0.278942779,0.278942779,0,-1,2018
Ikere,Owan East,,0.278942779,0.278942779,0,-1,2018
Ikole,Oke-Ero,,0.026328373,0.026328373,0,-1,2018
Ikom,Obubra,,0.41009749,0.41009749,0,-1,2018
Ikono,Ngor-Okpala,,0.5,0.5,0,-1,2018
Ikorodu,Uzo-Uwani,,0.159507461,0.159507461,0,-1,2018
Ikot Abasi,Nsit Ubium,,0.5,0.5,0,-1,2018
Ikot Ekpene,Ngor-Okpala,,0.163310644,0.163310644,0,-1,2018
Ikpoba-Okha,Uzo-Uwani,,0.171130973,0.171130973,0,-1,2018
Ikwerre,Oru West,,0.319487623,0.319487623,0,-1,2018
Ikwo,Obubra,,0.473701419,0.473701419,0,-1,2018
Ikwuano,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Ila,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ilaje,Owan East,,0.278942779,0.278942779,0,-1,2018
Ilemeji,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ile-Oluji-Okeigbo,Oke-Ero,,0.444444444,0.444444444,0,-1,2018
Ilesha East,Owan East,,0.5,0.5,0,-1,2018
Ilesha West,Akinyele,,0.154926235,0.154926235,0,-1,2018
Illela,Gawabawa,,0.023485083,0.023485083,0,-1,2018
Ilorin East,Oke-Ero,,0.388931756,0.388931756,0,-1,2018
Ilorin South,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ilorin West,Owan East,,0.335999959,0.335999959,0,-1,2018
Imeko-Afon,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ingawa,Rimi,,0.055555556,0.055555556,0,-1,2018
Ini,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Ipokia,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Irele,Akinyele,,0.154926235,0.154926235,0,-1,2018
Irepo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Irepodun1,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Irepodun2,Owan East,,0.278942779,0.278942779,0,-1,2018
Irepodun-Ifelodun,Akinyele,,0.154926235,0.154926235,0,-1,2018
Irewole,Akinyele,,0.477272783,0.477272783,0,-1,2018
Isa,Rimi,,0.209995572,0.209995572,0,-1,2018
Ise-Orun,Oke-Ero,,0.5,0.5,0,-1,2018
Iseyin,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ishielu,Owan East,,0.234735547,0.234735547,0,-1,2018
Isiala Mbano,Owan East,,0.278942779,0.278942779,0,-1,2018
Isiala-Ngwa North,Ngor-Okpala,,0.339461936,0.339461936,0,-1,2018
Isiala-Ngwa South,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Isin,Ngor-Okpala,,0.533062111,0.533062111,0,-1,2018
Isi-Uzo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Isokan,Akinyele,,0.154926235,0.154926235,0,-1,2018
Isoko North,Isoko South,,0.12159624,0.12159624,0,-1,2018
Isoko South,Isoko South,,0.12159624,0.12159624,0,-1,2018
Isu,Ngor-Okpala,,0.5,0.5,0,-1,2018
Isuikwato,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Itas-Gadau,Taura,,0.174288617,0.174288617,0,-1,2018
Itesiwaju,Akinyele,,0.154926235,0.154926235,0,-1,2018
Itu,Ngor-Okpala,,0.666666667,0.666666667,0,-1,2018
Ivo,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Iwajowa,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Iwo,Akinyele,,0.464031025,0.464031025,0,-1,2018
Izzi,Owan East,,0.486885732,0.486885732,0,-1,2018
Jaba,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Jada,Alkaleri,,0.095661138,0.095661138,0,-1,2018
Jahun,Taura,,0.22134251,0.22134251,0,-1,2018
Jakusko,Taura,,0.174928041,0.174928041,0,-1,2018
Jalingo,Keana,,0.342657285,0.342657285,0,-1,2018
Jama'are,Taura,,0.141960062,0.141960062,0,-1,2018
