DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Gboyin,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Idosi-Osi,0.633662224,0.67878425,0.723906276,0.769028303,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ijero,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikere,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikole,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163,0.80395163
Ilemeji,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Irepodun-Ifelodun,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ise-Orun,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Moba,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oye,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ezeagu,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
